27.650000	27.650000	B
30.850000	30.850000	B
35.650000	35.650000	B
38.850000	38.850000	B
50.849000	50.849000	B
52.650000	52.650000	B
55.249000	55.249000	B
57.250000	57.250000	B
81.250000	81.250000	B
88.649000	88.649000	B
94.650000	94.650000	B
96.050000	96.050000	B
98.850000	98.850000	B
106.250000	106.250000	B
121.849000	121.849000	B
123.449000	123.449000	B
130.649000	130.649000	B
133.250000	133.250000	B
141.250000	141.250000	B
144.649000	144.649000	B
147.850000	147.850000	B
152.050000	152.050000	B
154.850000	154.850000	B
157.450000	157.450000	B
